interval	 n. 间隔,间歇
action	 n. 行动；行为；战斗
increasingly	 adv. 不断增加地,日益
confuse	 v. 使混乱,混淆
base	 n. 基础,底部；根据地 v. (on)把…基于
evolution	 n. 进化,演变；发展,进展
exclude	 v. 拒绝,把…排除在外；排斥
barn	 n. 谷仓,仓库
legislation	 n. 法律(规)；立法
simple	 adj. 简单的；迟钝的,头脑简单的
pension	 n. 养老金,年金
parade	 n. 游行；检阅,阅兵式 v. 游行；列队行进
prescription	 n. 药方,处方
heroic	 adj. 英雄的，英勇的，崇高的
modest	 adj. 谦虚的
finite	 adj. 有限的
obscure	 adj. 模糊的,晦涩的；暗的,朦胧的
basement	 n. 建筑物的底部,地下室,地窖
information	 n. 情报,资料,消息;信息
doctor	 n. 医生；博士 v. 窜改，伪造
urban	 adj. 城市的, 市内的
preliminary	 adj. 预备的,初步的
viewpoint	 n. 观点
verdict	 n. (陪审团的)裁决,判决；判断；定论
apartment	 n. [英]房间，套间；[美]公寓
concrete	 adj. 混凝土的；具体的 n. 混凝土
verge	 n. 边,边缘 v. 濒临
education	 n. 教育,培养
combat	 n. 战斗,搏斗,格斗 v. 防止，抑制
marble	 n. 大理石,云石
medal	 n. 奖章,勋章,纪念章
cycle	 n. 周期,循环；自行车 v. 骑自行车；循环
careful	 adj. 小心的,仔细的;细致的,精心的
biology	 n. 生物学
classification	 n. 分类,分级
intelligible	 adj. 可理解的，明白易懂的，清楚的
unexpected	 adj. 想不到的, 意外的, 未预料到
economy	 n. 经济；节约
discreet	 adj. (言行)谨慎的；慎重的
prison	 n. 监狱
finger	 n. 手指；指状物
captain	 n. 舰长，船长；机长 v. 做…的首领,指挥
sign	 n. 标记,招牌；征兆,迹象 v. 签名(于),署名(于)
event	 n. (尤指特殊、重大) 事件
inverse	 adj. 相反的,倒转的,反转的 n. 相反之物
accidental	 adj. 偶然的；意外的；无意中的
certainty	 n. 必然,肯定;必然的事
refine	 v. 改进；完善；精炼,精制,提纯
spectrum	 n. 范围，幅度；光谱
propose	 v. 提议,建议；提出；求婚
recollect	 v. 回忆,想起,记起,忆起,记得
allow	 v. 允许，准许；承认
custom	 n. 习惯,风俗,惯例；(pl.)海关
temple	 n. 庙宇,神殿,寺；太阳穴
equivalent	 adj. (to)相等的,等价的 n. 相等物,等价物
discount	 n. 折扣 v. 不重视；打折扣
comparative	 adj. 比较的,相比的
dictionary	 n. 词典,字典
design	 v. 设计;构思;绘制 n. 设计；图样
congress	 n. (代表)大会；国会,议会
vertical	 adj. 垂直的,竖的 n. 垂线,垂直位置
indignant	 adj. 愤慨的,愤慨不平的
entertain	 v. 招待,款待；使娱乐;使欢乐
efficiency	 n. 效率；功效
loyalty	 n. 忠诚
volcano	 n. 火山
negligible	 adj. 可忽略不计的，微不足道的
specification	 n. (常pl.)规格,说明书,规范
gentleman	 n. 绅士,先生
preclude	 v. 排除,阻止,妨碍
apart	 adv&adj. 〔空间〕分开（的），相距（的），相隔（的）
anonymous	 adj. 匿名的，无名的，姓氏不明的
consider	 v. 考虑，细想；认为；体谅，顾及
consecutive	 adj. 连续的；连贯的；顺序的
spectacular	 adj. 壮观的,引人注目的 n. 壮观的演出
directly	 adv. 直接地,径直地；马上,立即
economics	 n. 经济学
act	 v. 行动，做事；表现；表演 n. 行为；法令
compensation	 n. 补偿费，赔偿金
accountant	 n. 会计人员，会计师
resolute	 adj. 坚决的,果断的
sympathize	 v. (sympathise)(with)同情;共鸣,同感
coherent	 adj. 一致的，协调的；(话语等)条理清楚的
terminal	 adj. 晚期的 n. 终点(站)
aside	 adv. 在旁边，到一边 n. 旁白；离题的话
criticize	 v. 批评；指责；评论
generalize	 v. (generalise)归纳,概括；推广,普及
assistant	 adj. 帮助的，辅助的 n. 助手，助理，副手
consent	 n. 同意,赞成,答应 v. (to)同意，允许
magnificent	 adj. 华丽的,高尚的,宏伟的
purpose	 n. 目的,意图,用途,效果
partly	 adv. 部分地,不完全地,在一定程度上
participate	 v. (in)参与,参加
assimilate	 v. 吸收，消化；被吸收；被同化
appetite	 n. 食欲，胃口；欲望
revenue	 n. 财政收入；税收
sentence	 n. 句子；判决,宣判 v. 宣判,判决
dome	 n. 圆屋顶
fact	 n. 事实,实际
side	 n. 边，面，侧 v. 支持
namely	 adv. 即,也就是
actual	 adj. 实际的，真实的
escape	 n. 逃跑,逃脱 v. 避开，逃避
provoke	 v. 激起，引起；激怒，挑衅，使恼火
battle	 n. 战役,战斗;斗争 v. 战斗,斗争,搏斗
timber	 n. 木材,木料
efficient	 adj. 有效的,效率高的;有能力的,能胜任的
device	 n. 装置,设备,仪表
company	 n. 公司；陪伴；宾客；(一)群,队,伙
infect	 v. 传染；影响
advent	 n. (重要事件等的)到来，来临
visible	 adj. 看得见的, 明显的, 显著的
money	 n. 货币,钱
hesitate	 v. 犹豫,踌躇
exceed	 v. 超过,胜过；越出 (限制、规定)
meditate	 v. 想,考虑；(尤指宗教上的)沉思,冥想
prosecute	 v. 指控，公诉；起诉，告发；继续从事
visit	 n. 访问,参观 v. 访问,参观；视察
valley	 n. (山)谷;流域
acrobat	 n. 特技演员，杂技演员
exceedingly	 adv. 极端地,非常
supermarket	 n. 超级市场
polite	 adj. 有礼貌的,客气的;有教养的,文雅的
particular	 adj. 特定的，特指的；特殊的，特别的；讲究的；挑剔的 n. 细节，详情
degenerate	 v. 衰退,堕落,蜕化 adj. 堕落的 n. 堕落者
eligible	 adj. 符合条件的；(尤指婚姻等)合适(意)的
incur	 v. 招致,惹起,遭受
occupation	 n. 职业,工作；占领,占据
apology	 n. 道歉，认错
malignant	 adj. 恶性的，致命的；恶意的，恶毒的
fragrant	 adj. 香的;芬芳的
contempt	 n. 轻视，藐视；受辱，丢脸
assembly	 n. 议会；集合；装配
transform	 v. 改变,改造
article	 n. 文章，论文；物件；条款
disperse	 v. 分散；驱散；（使）〔某物〕消散
progress	 n. 进步，进展；稳步前进 v. 进步，进展
suffice	 v. 充足，足够
close	 v. 关；结束 n. 结束 adj. 近的；紧密的 adv. 近地；紧密地
apparent	 adj. 显然的,明明白白的；表面上的
tin	 n. 锡；罐头 adj. 锡制的
parcel	 n. 包裹,邮包 v. 打包,捆扎
eloquent	 adj. 雄辩的,有说服力的;善辩的,口才流利的
shepherd	 n. 牧民,牧羊人
inject	 v. 注射(药液等)；注入
accelerate	 v. 使加速，使增速，促进；加速
prescribe	 v. 指示,规定；处(方),开(药)
metric	 adj. 米制的,公制的
resume	 n. 个人简历 v. 再继续；重新开始
barrel	 n. 桶；枪管,炮管
metal	 n. 金属,金属制品
metaphor	 n. 隐喻，暗喻
priority	 n. 优先,重点,优先权
diligent	 adj. 勤奋的,用功的
barber	 n. 理发师
advance	 n. 预付款；(常指军事行动中的) 前进 v. 前进，推进〔尤指士兵〕；进展
princess	 n. 公主,王妃
memo	 n. 备忘录
refusal	 n. 拒绝,回绝
artistic	 adj. 艺术(家)的，美术(家)的；善于艺术创作的
console	 n. 控制台，仪表板 v. 安慰，慰问
tempt	 v. 诱惑，引诱，诱使
impose	 v. 把 (观点、信仰等) 强加于；强制推行；强制实行
concise	 adj. 简明的,简洁的
communicate	 v. 沟通
certify	 v. 证明，证实；发证书(或执照)给
comparison	 n. 比较,对比
mode	 n. 方式,式样
compartment	 n. 隔层；分隔间
consideration	 n. 考虑,思考；需要考虑的事；体谅,照顾
react	 v. 反应,起作用；反对,反抗；起反作用,起不良反应
proceed	 v. 继续进行，继续做
determine	 v. 查明,测定,确定；决心,决定
adequate	 adj. 充足的，足够的
catastrophe	 n. 大灾难
directory	 n. 人名地址录,(电话)号码簿
fellowship	 n. 伙伴关系,友情,友谊；团体
merchant	 n. 商人；批发商
humidity	 n. 湿气,湿度
cat	 n. 猫
version	 n. 版本,变体,译本,译文;
reporter	 n. 报告人,通讯员;记者,报导者
vanish	 v. 突然不见;消失
nominal	 adj. 名义上的
noun	 n. 名词
portable	 adj. 轻便的,手提(式)的,可移动的
reverse	 n. 相反;背面 adj. 相反的 v. 颠倒,倒转
factory	 n. 工厂
accurate	 adj. 正确无误的，准确的，精确的；精确的
portrait	 n. 肖像,画像
detector	 n. 侦察器,探测器,检波器,检电器
fellow	 n. 人,家伙；伙伴,同事 adj. 同样的,同事的
greeting	 n. 问候,致敬
acid	 n. 酸,酸性物质 adj. 酸的,酸味的；尖刻的
customary	 adj. 惯例的；习惯的
modernization	 n. (modernisation)现代化
parallel	 adj. 平行的；相同的,类似的
police	 n. 警察,警察机关 v. 管辖
departure	 n. 离开,起程
carrier	 n. 搬运物，运输工具
manuscript	 n. 手稿,原稿
fine	 adj. 晴朗的,美好的,细致的 v. 对…处以罚款 n. 罚金,罚款
impart	 v. 赋予，给予；传授，告知
advise	 v. 忠告，劝告，建议；通知，告知
recede	 v. 退〔水〕消退，退去
economic	 adj. 经济(上)的,经济学的
bulletin	 n. 公报,公告,告示
formula	 n. 公式；分子式；准则；方案
tomb	 n. 坟,冢
volunteer	 n. 志愿者 v. 自愿；主动提供(信息)
coincide	 v. 同时发生；巧合；一致；相符；
clothing	 n. 服装,被褥
her	 pron. [she的宾格]她 determiner. [she的所有格]她的
emotion	 n. 情绪,情感,感情
ceremony	 n. 典礼,仪式；礼节,礼仪
accompany	 v. 陪伴，陪同,伴随；伴奏
discrepancy	 n. 差异,不符
logical	 adj. 逻辑的,符合逻辑的
venture	 v. 冒险 n. 冒险事业
cream	 n. 乳脂,(鲜)奶油；奶油色
precede	 v. 先于；走在…之前
retain	 v. 保持,保留
occupy	 v. 占,占用；占据,占领；使忙碌,使从事
airport	 n. 机场，航空站，航空港
uncover	 v. 揭开,揭露
parameter	 n. 参数; 界限
average	 n. 平均,平均数 adj. 平均的；普通的 v. 平均为
versus	 prep. 〔比赛或诉讼中〕对，诉，对抗；与…相对
bat	 n. 蝙蝠；球拍,球棒,短棒
compose	 v. 组成,构成;(of)由…组成；作曲
domestic	 adj. 本国的；家里的；驯养的
victory	 n. 胜利
deceit	 n. 欺骗,欺骗行为
homogeneous	 adj. 同种类的，同性质的，有相同特征的
voluntary	 adj. 自愿的,志愿的
dissolve	 v. (使)溶解,(使)融化；解散,取消
light	 n. 光；灯 v. 点燃；照亮 adj. 轻；淡；明亮
parachute	 n. 降落伞 v. 跳伞
conclusion	 n. 结论，推论；结尾；缔结，议定
eject	 v. 喷射,排出；驱逐
nightmare	 n. 恶梦；可怕的事物，无法摆脱的恐惧
valid	 adj. 有效的；有根据的;正当的
elevate	 v. 提拔,提升...的职位；举起
select	 v. 选择,挑选 adj. 精选的,选择的
revenge	 n. 报复,复仇 v. 替…报仇
handicap	 v. 妨碍 n. (身体或智力方面的)缺陷；不利条件
evaporate	 v. 蒸发,挥发
financial	 adj. 财政的,金融的
remember	 v. 记住
predict	 v. 预言,预测,预告
waterproof	 adj. 防水的,耐水的
productivity	 n. 生产率
finally	 adv. 最后,最终
subtract	 v. (from)减(去)
direct	 a&ad. 径直地 adj. 径直的 v. 管理,指导；(at,to)指向
monetary	 adj. 金融的,货币的
approve	 v. 批准，通过；(of)赞成，赞许，同意
economical	 adj. 节约的,经济的
bankrupt	 adj. 破产的 v. 使破产 n. 破产者
objection	 n. 异议,反对的理由；反对,不喜欢
pale	 adj. 苍白的,灰白的；浅的,暗淡的
format	 n. (出版物的)开本,版式,格式 v. 设计;安排
voice	 n. 声音;嗓音；意见,发言权;语态
abdomen	 n. 腹，下腹
spicy	 adj. 加很多香料的；(口味)浓郁的
specify	 v. 指定,详细说明
modern	 adj. 现代的,近代的；新式的
prestige	 n. 声望,威望,威信
clothe	 v. (给…)穿衣,供给…衣服
lawyer	 n. 律师
enclosure	 n. 围地，围场
motor	 n. 发动机,电动机
addition	 n. 增添，添加；附加部分，增加(物)；加法
project	 n. 方案,工程,项目 v. 投射,放映；设计,规划
silver	 n. 银;银器;银币 v. 镀银
incorporate	 v. 合并,纳入,结合 adj. 合并的
evade	 v. 逃避，回避；避开，躲避；回避
sensitive	 adj. 敏感的，容易生气的
conventional	 adj. 惯例的,常规的
cut	 v. 削减，删节；切，割，削 n. 切口，伤口
intimate	 adj. 亲密的,密切的 n. 熟友,熟人
affect	 v. 影响；(疾病)侵袭；感动
chairman	 n. 主席,议长,会长,董事长
important	 adj. 重要的,重大的；有地位的,有权力的
mob	 n. 暴民，乱民 v. 围攻
demonstrate	 v. 论证,证实；演示,说明
basin	 n. 盆,脸盆；盆地
price	 n. 价格,价钱；代价 v. 给…定价钱
marginal	 adj. 记在页边的,旁注的
position	 n. 姿势,姿态；位置；职位；处境,形势
solid	 adj. 固体的；结实的,稳固的；可靠的 n. 固体
mobile	 adj. 可动的,活动的,运动的
identification	 n. 身份证明(文件)；识别,鉴别
convenience	 n. 便利,方便
logic	 n. 逻辑,逻辑学
immediate	 adj. 立即的,即时的；最接近的；紧接的
autonomy	 n. 自治，自治权；
crystal	 n. 水晶,水晶饰品；结晶 adj. 水晶的,透明的
local	 adj. 地方的,当地的；局部的
process	 n. 过程,进程；工序,制作法,工艺 v. 加工；处理
great	 adj. 大量的；很好的；伟大的
revolution	 n. 革命
ban	 v. 取缔,查禁,禁止 n. 禁止,禁令
competition	 n. 竞争；比赛，竞赛
marine	 adj. 海洋的,海生的,海产的；船舶的；海军的
significance	 n. 重要性; 意义
panic	 n. 恐慌,惊慌 v. 使惊慌,使害怕
satisfactory	 adj. 令人满意的,圆满的,良好的,符合要求的
factor	 n. 因素,要素
perspective	 n. 观点,看法；透视画法,透视图因素,要素
impetus	 n. 推动(力),促进
announce	 v. 正式宣布,发表
contract	 n. 合同/契约 v. 订合同/契约；使缩小
entertainment	 n. 文娱节目；娱乐活动；招待,款待
detective	 n. 侦探
radioactive	 adj. 放射性的,放射引起的
follow	 v. 跟随；接着
database	 n. 数据库
vigorous	 adj. 朝气蓬勃的,精力旺盛的
metropolitan	 adj. 大城市的，大都会的
include	 v. 包括,包含
herself	 pron. [反身代词]她自己；她亲自，她本人
summon	 v. 召唤；传讯,传唤；鼓起(勇气),振作(精神)
activate	 v. 启动，激活；驱动，驱使；使开始起作用
pyramid	 n. 金字塔
contain	 v. 包含，容纳
lure	 n. 吸引力,魅力,诱惑物 v. 引诱，吸引
cure	 v. (of)治愈,医治 n. 治愈，治疗
lower	 adj. 下面的，下方的 v. 降下,放低
detain	 v. 耽搁；扣押,拘留
modify	 v. 更改,修改
encounter	 v. 遇到,遭遇 n. 遭遇；经历
conceive	 v. (of)设想,构思,想象；怀胎
emergency	 n. 紧急情况,突然事件,非常时刻
successor	 n. 接替的人或事物，继任者
retrospect	 n. 回顾，回想，追溯
performance	 n. 表演,演出；表现；履行,执行
essential	 adj. 本质的,基本的 n. 要素
disclose	 v. 揭示,泄露
nominate	 v. 提名；任命
crisis	 n. (pl.crises)危机,紧要关头
indication	 n. 指出,指示;表明,显示
heritage	 n. 遗产,继承物;传统
scale	 n. 规模;刻度;天平,磅秤;比例尺;音阶;鱼鳞
sympathetic	 adj. 有同情心的；赞同的，支持的
conversion	 n. 转变，转换；信仰的改变；
psychology	 n. 心理,心理学,心理状态
tomato	 n. 西红柿
mark	 n. 痕迹；记号；分数 v. 标记；打分；使有特色
rectangle	 n. [数]矩形, 长方形
solo	 n. 独奏 adj. 单独的；独唱的 adv. 单独地；独唱地
permanent	 adj. 永久的；持久的
former	 adj. 以前的,在前的
barbecue	 n. 烧烤野餐 v. 炙烤(肉等)
receive	 v. 收到,接到；遭受,受到；接待,接见
university	 n. (综合)大学
merge	 v. (使)结合，(使)合并，(使)合为一体
agency	 n. 代理(处)，代办处；[美](政府的)机关，厅
greet	 v. 致敬,问候,迎接;扑(鼻),入(耳),触(目)
subsequent	 adj. 随后的,后来的
benefit	 n. 利益,好处,恩惠 v. 有益于;(from,by)受益
embarrass	 v. 使困窘,使局促不安；阻碍,麻烦
marvelous	 adj. (marvellous)惊人的,奇迹般的,妙极的
office	 n. 办公室,办事处；职务,公职；部,局,处
indicative	 adj. (of)指示的,暗示的
proportion	 n. 部分；比例；均衡,相称
definite	 adj. 明确的;一定的
van	 n. 有篷汽车；有篷货运车厢
assist	 v. 协助，帮助，促进
medical	 adj. 医学的，医疗的，医药的
subjective	 adj. 主观(上)的，个人的
vocal	 adj. 声音的;有声的;歌唱的 n. 元音;声乐作品
luxury	 n. 奢侈,华贵；奢侈品 adj. 奢华的,豪华的
among	 prep. 在一群(组)之中；在…之中，于…之间
secret	 adj. 秘密的,机密的 n. 秘密
inspiration	 n. 灵感；鼓舞,激励
curl	 v. (使)卷曲,蜷缩 n. 卷发;卷曲状；卷曲物
deposit	 v. 存放；使沉淀 n. 存款；沉积物
crime	 n. 罪行,犯罪
abandon	 v. 离弃，丢弃；遗弃，抛弃；放弃
memory	 n. 记忆力；记忆,回忆；存储(器)
projector	 n. 放映机,幻灯机,投影仪
